日付, 版/刷, ページ, 行, 修正前, 修正後, 報告者, 備考
2022/11/06, 第二版/2, 91, 7, 秘匿化のECCとは別に、ECDSAと呼ばれるディジタル署名用, 秘匿化のECCであるECElGamal暗号のほか、ECDSAと呼ばれるディジタル署名用, @tetsu_1008, 
2022/11/06, 第二版/2, 91, 11, ECC、およびECDSAは, ECElGamal、およびECDSAは, -, 上に伴い修正
2022/12/04, 第二版/2, 196, 19, TLS 1.3では、鍵交換の方式についてPFSの確保に問題があったアルゴリズム、RSA、ECDSA、DH、ECDHは廃止されました。また、鍵交換アルゴリズムはDHEとECDHEのみに限定されました。, TLS 1.3の暗号スイート（CipherSuitesフィールドにて指定）では、共通鍵暗号化アルゴリズムとハッシュアルゴリズムのみを指定することとなり、鍵交換アルゴリズムや署名アルゴリズムはExtensionsフィールドで指定することとなりました。また、鍵交換アルゴリズムについては、PFSの確保に問題がある（鍵交換として利用する）RSA、DH、および、ECDHが廃止され、TLS 1.3での鍵交換はDHEおよびECDHEのみに限定されました。なお、TLS 1.3では、DSAは廃止されました。, @tetsu_1008,
2022/12/04, 第二版/2, 164, 9, ここでの検証とは真正性の検証であり、「署名前証明書のハッシュ値」と「証明書Cert1に含まれる署名を認証局Xの公開鍵で復号した値」を比較することです。, ここでの検証とは真正性の検証であり、「署名前証明書のハッシュ値」と「証明書Cert1に含まれる署名を認証局Xの公開鍵で検証処理で復元（RSAを用いた署名の場合、復号処理）した値」を比較することです, @tetsu_1008,
2022/12/04, 第二版/2, 16, 6, SSL/TLS通信における暗号化に必要な公開鍵などの情報を含み, SSL/TLS通信におけるディジタル署名に必要な公開鍵などの情報を含み, @tetsu_1008,
2022/12/04, 第二版/2, 99, 2, ディジタル署名（digital signature）とは、メッセージに対するハッシュ値を秘密鍵で暗号化することで、メッセージの改ざん検知、および否認防止を実現するしくみのことです。, ディジタル署名（digital signature）とは、メッセージに対するハッシュ値および署名用の秘密鍵▼を使用することで、メッセージの改ざん検知、および否認防止を実現するしくみのことです。, @tetsu_1008,
2022/11/06, 第二版/2, 99,（「秘密鍵」の脚注）, -, ▼ディジタル署名の生成に用いる秘密鍵は、復号に用いる秘密鍵と区別するために「署名鍵」とし、ディジタル署名の検証に用いる公開鍵は、暗号化に用いる公開鍵と区別するために「検証鍵」と呼ぶこともある。, -, 上に伴い修正
2022/11/06, 第二版/2, 99, 10, 署名処理から検証処理までのディジタル署名の一連の流れは、以下のとおりです（図2.41）。, 署名処理から検証処理までのRSAを用いるディジタル署名の一連の流れは、以下のとおりです（図2.41）。, -, 上に伴い修正
2022/11/06, 第二版/2, 99,（2つ目の脚注の最後の文）, 本書では、便宜的に「暗号化」と表現する。, （削除）, -, 上に伴い修正
2022/12/04, 第二版/2, 94, 15, このように、攻撃者が通信に割り込んでメッセージを改ざんする 攻撃をMITM攻撃と呼びます。, このように、攻撃者が通信に割り込んでメッセージを改ざんできてしまうことによりMITM攻撃が攻撃者の意図通りに成立してしまいます。, @tetsu_1008,
2022/12/04, 第二版/2, 69, （最初の脚注：最後に追記）, -, また、SP 800-131A Rev. 2（2019）にて、2023年以降、3-keyの3DESの利用を禁止した。, @tetsu_1008,
2022/12/04, 第二版/2, 67,（下から2行目）, バーナム暗号 （62ページ参照）もストリーム暗号化方式ですが、, バーナム暗号 （62ページ参照）もストリーム暗号化方式と同様に乱数を用いますが、, @tetsu_1008,
2022/12/22, 第二版/2, 173, 図5.1 （左下）, ディジタル署名, 公開鍵を用いた認証, @tetsu_1008,
2022/12/22, 第二版/2, 177, 図5.3, ハッシュ関数, メッセージ改竄検知, @tetsu_1008,
2022/12/22, 第二版/2, 177, 図5.3, 鍵共有アルゴリズム, 鍵交換方式, @tetsu_1008,
2022/12/22, 第二版/2, 98, （脚注の最後の文）, Keying HashやHMAC（Hash-based Message Authentication Code）とも呼ばれる。, MACの中でハッシュ関数を用いるものはKeying HashやHMAC（Hash-based Message Authentication Code）とも呼ばれることもある。, @tetsu_1008,
2022/12/23, 第二版/2, 9, 8, 技術的セキュリティとは、おもにITシステムに関するセキュリティのことで、システムセキュリティとも呼ばれます。, 技術的セキュリティとは、おもにITシステムに関するセキュリティのことで、論理セキュリティやシステムセキュリティとも呼ばれます。, ,
